Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 4:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_HALLE:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_HALLE:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  13:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.7723556947893,0.0 
 01/15  13:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.9119209407363,0.0 
 01/15  13:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000007,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.0504112824566,0.0 
 01/15  14:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.1878349340984,0.0 
 01/15  14:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.3242000481114,0.0 
 01/15  14:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.4595147153598,0.0 
 01/15  14:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.5937869654734,0.0 
 01/15  15:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.7270247687121,0.0 
 01/15  15:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.8592360339827,0.0 
 01/15  15:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,789.9904286124511,0.0 
